Date = 2017-10-05 12:16:57.4214; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:08.3418; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:09.0046; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:11.5196; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:17.0496; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:24.9575; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:25.8142; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:27.0117; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:30.0374; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:30.6923; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:31.4848; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:33.3806; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:36.2457; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:36.8208; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:58.6958; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:00.4571; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:31.9380; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:33.5127; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:35.6953; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:36.3651; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:36.9103; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:37.3727; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:37.7802; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:40.2374; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:41.0605; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:41.7726; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:42.9609; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:56.1487; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:56.5497; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:56.9884; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:57.3804; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:18:57.8372; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:29.6754; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:32.5087; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:34.9219; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:36.8825; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:37.9855; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:38.4390; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:38.8708; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:39.2561; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:39.6711; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:40.3294; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:40.8193; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:41.5724; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:21:42.1114; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:17.5599; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:27.5973; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:29.4353; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:31.0107; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:31.8804; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:32.6918; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:32.8774; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:33.0470; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:33.1929; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:33.2809; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:33.3940; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:33.7347; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:34.1815; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:34.3632; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:34.5101; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:23:34.5911; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:25:25.9868; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:25:31.0126; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:25:31.9652; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:25:33.4072; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:25:34.2133; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:25:34.6445; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:25:35.0675; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:28:50.6610; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:28:53.6078; IP = ; URL = ; Controller = ; Action = ;
